category_id,category_name,subcategory_id,subcategory_name
8016e637b54241f8ad242ed1699bf2da,Βρεφικά Είδη,Απορρυπαντικά,991276688c8c4a91b5524b1115122ec1
8016e637b54241f8ad242ed1699bf2da,Βρεφικά Είδη,Πάνες,e0efaa1776714351a4c17a3a9d412602
8016e637b54241f8ad242ed1699bf2da,Βρεφικά Είδη,Γάλα,fc71b59318b5410d8ed9da8b42904d77
8016e637b54241f8ad242ed1699bf2da,Βρεφικά Είδη,"Περιποιήση σώματος",ddb733df68324cfc8469c890b32e716d
8016e637b54241f8ad242ed1699bf2da,Βρεφικά Είδη,"Σαμπουάν - Αφρόλουτρα",3d0c29b055f8417eb1c679fbfdc37da0
8016e637b54241f8ad242ed1699bf2da,Βρεφικά Είδη,Γιαούρτια,724700777199431e9d42861b2ed63cd5
8016e637b54241f8ad242ed1699bf2da,Βρεφικά Είδη,Μωρομάντηλα,92680b33561c4a7e94b7e7a96b5bb153
8016e637b54241f8ad242ed1699bf2da,Βρεφικά Είδη,"Βρεφικές τροφές",7e86994327f64e3ca967c09b5803966a
d41744460283406a86f8e4bd5010a66d,Καθαριότητα,"Είδη γενικού καθαρισμού",3be81b50494d4b5495d5fea3081759a6
d41744460283406a86f8e4bd5010a66d,Καθαριότητα,Χαρτικά,034941f08ca34f7baaf5932427d7e635
d41744460283406a86f8e4bd5010a66d,Καθαριότητα,"Αποσμητικά Χώρου",21051788a9ff4d5d9869d526182b9a5f
d41744460283406a86f8e4bd5010a66d,Καθαριότητα,"Εντομoκτόνα - Εντομοαπωθητικά",8f98818a7a55419fb42ef1d673f0bb64
d41744460283406a86f8e4bd5010a66d,Καθαριότητα,Απορρυπαντικά,e60aca31a37a40db8a83ccf93bd116b1
d41744460283406a86f8e4bd5010a66d,Καθαριότητα,"Είδη κουζίνας - Μπάνιου",b5d54a3d8dd045fb88d5c31ea794dcc5
a8ac6be68b53443bbd93b229e2f9cd34,Ποτά - Αναψυκτικά,Μπύρες,329bdd842f9f41688a0aa017b74ffde4
a8ac6be68b53443bbd93b229e2f9cd34,Ποτά - Αναψυκτικά,"Εμφιαλωμένα νερά",bc4d21162fbd4663b0e60aa9bd65115e
a8ac6be68b53443bbd93b229e2f9cd34,Ποτά - Αναψυκτικά,Κρασιά,3d01f4ce48ad422b90b50c62b1f8e7f2
a8ac6be68b53443bbd93b229e2f9cd34,Ποτά - Αναψυκτικά,Ποτά,08f280dee57c4b679be0102a8ba1343b
a8ac6be68b53443bbd93b229e2f9cd34,Ποτά - Αναψυκτικά,Χυμοί,4f1993ca5bd244329abf1d59746315b8
a8ac6be68b53443bbd93b229e2f9cd34,Ποτά - Αναψυκτικά,"Αναψυκτικά - Ενεργειακά Ποτά",3010aca5cbdc401e8dfe1d39320a8d1a
8e8117f7d9d64cf1a931a351eb15bd69,Προσωπική φροντίδα,Αποσμητικά,35410eeb676b4262b651997da9f42777
8e8117f7d9d64cf1a931a351eb15bd69,Προσωπική φροντίδα,Βαμβάκια,af538008f3ab40989d67f971e407a85c
8e8117f7d9d64cf1a931a351eb15bd69,Προσωπική φροντίδα,"Βαφές μαλλιών",09f2e090f72c4487bc44e5ba4fcea466
8e8117f7d9d64cf1a931a351eb15bd69,Προσωπική φροντίδα,"Κρέμες μαλλιών",cf079c66251342b690040650104e160f
8e8117f7d9d64cf1a931a351eb15bd69,Προσωπική φροντίδα,"Λοιπά προϊόντα",a610ce2a98a94ee788ee5f94b4be82c2
8e8117f7d9d64cf1a931a351eb15bd69,Προσωπική φροντίδα,Υγρομάντηλα,f4d8a256e3944c05a3e7b8904b863882
8e8117f7d9d64cf1a931a351eb15bd69,Προσωπική φροντίδα,"Ξυριστικά - Αποτριχωτικά",2df01835007545a880dc43f69b5cae07
8e8117f7d9d64cf1a931a351eb15bd69,Προσωπική φροντίδα,Οδοντόβουρτσες,6db091264f494c86b9cf22a562593c82
8e8117f7d9d64cf1a931a351eb15bd69,Προσωπική φροντίδα,"Πάνες ενηλίκων",0bf072374a8e4c40b915e4972990a417
8e8117f7d9d64cf1a931a351eb15bd69,Προσωπική φροντίδα,"Περιποίηση προσώπου",5a2a0575959c40d6a46614ab99b2d9af
8e8117f7d9d64cf1a931a351eb15bd69,Προσωπική φροντίδα,"Προϊόντα μαλλιών",5935ab588fa444f0a71cc424ad651d12
8e8117f7d9d64cf1a931a351eb15bd69,Προσωπική φροντίδα,"Σαμπουάν - Αφρόλουτρα",46b02b6b4f4c4d5d8a0efe21d0981027
8e8117f7d9d64cf1a931a351eb15bd69,Προσωπική φροντίδα,"Κρέμα ημέρας",de77af9321844b1f863803f338f4a0c2
8e8117f7d9d64cf1a931a351eb15bd69,Προσωπική φροντίδα,"Κρέμα Σώματος",c44b50bef9674aaeb06b578122bf4445
8e8117f7d9d64cf1a931a351eb15bd69,Προσωπική φροντίδα,"Αντρική περιποίηση",e2f81e96f70e45fb9552452e381529d3
8e8117f7d9d64cf1a931a351eb15bd69,Προσωπική φροντίδα,Επίδεσμοι,1b59d5b58fb04816b8f6a74a4866580a
8e8117f7d9d64cf1a931a351eb15bd69,Προσωπική φροντίδα,"Κρέμες ενυδάτωσης",fefa136c714945a3b6bcdcb4ee9e8921
8e8117f7d9d64cf1a931a351eb15bd69,Προσωπική φροντίδα,"Κρεμοσάπουνα - Σαπούνι",9c86a88f56064f8588d42eee167d1f8a
8e8117f7d9d64cf1a931a351eb15bd69,Προσωπική φροντίδα,Προφυλακτικά,7cfab59a5d9c4f0d855712290fc20c7f
8e8117f7d9d64cf1a931a351eb15bd69,Προσωπική φροντίδα,Σερβιέτες,2bce84e7df694ab1b81486aa2baf555d
8e8117f7d9d64cf1a931a351eb15bd69,Προσωπική φροντίδα,"Στοματικά διαλύματα",181add033f2d4d95b46844abf619dd30
8e8117f7d9d64cf1a931a351eb15bd69,Προσωπική φροντίδα,"Στοματική υγιεινή",26e416b6efa745218f810c34678734b2
ee0022e7b1b34eb2b834ea334cda52e7,Τρόφιμα,"Αλεύρι - Σιμιγδάλι",c761cd8b18a246eb81fb21858ac10093
ee0022e7b1b34eb2b834ea334cda52e7,Τρόφιμα,Αλλαντικά,be04eae3ca484928a86984d73bf3cc3a
ee0022e7b1b34eb2b834ea334cda52e7,Τρόφιμα,Αυγά,6d2babbc7355444ca0d27633207e4743
ee0022e7b1b34eb2b834ea334cda52e7,Τρόφιμα,"Βούτυρο - Μαργαρίνη",a240e48245964b02ba73d1a86a2739be
ee0022e7b1b34eb2b834ea334cda52e7,Τρόφιμα,Γιαούρτια,0364b4be226146699140e81a469d04a1
