id,name,date,price
0,Trata Σαρδέλα Λαδιού 100γρ,2022-12-01,1.7
0,Trata Σαρδέλα Λαδιού 100γρ,2022-12-02,1.69
0,Trata Σαρδέλα Λαδιού 100γρ,2022-12-03,1.71
0,Trata Σαρδέλα Λαδιού 100γρ,2022-12-05,1.71
0,Trata Σαρδέλα Λαδιού 100γρ,2022-12-06,1.71
1,Υφαντής Πίτσα Rock N Roll 3Χ460γρ,2022-12-01,8.96
1,Υφαντής Πίτσα Rock N Roll 3Χ460γρ,2022-12-02,8.94
1,Υφαντής Πίτσα Rock N Roll 3Χ460γρ,2022-12-03,9.04
1,Υφαντής Πίτσα Rock N Roll 3Χ460γρ,2022-12-05,8.99
1,Υφαντής Πίτσα Rock N Roll 3Χ460γρ,2022-12-06,9.12
2,Barilla Μακαρ Linguine Bavette Ν13 500γρ,2022-12-01,1.53
2,Barilla Μακαρ Linguine Bavette Ν13 500γρ,2022-12-02,1.55
2,Barilla Μακαρ Linguine Bavette Ν13 500γρ,2022-12-03,1.55
2,Barilla Μακαρ Linguine Bavette Ν13 500γρ,2022-12-05,1.55
2,Barilla Μακαρ Linguine Bavette Ν13 500γρ,2022-12-06,1.55
3,Μπριζόλες Καρέ/Κόντρα Χοιρ Νωπές Εισ Μ/Ο ,2022-12-01,5.82
3,Μπριζόλες Καρέ/Κόντρα Χοιρ Νωπές Εισ Μ/Ο ,2022-12-02,5.8
3,Μπριζόλες Καρέ/Κόντρα Χοιρ Νωπές Εισ Μ/Ο ,2022-12-03,5.6
3,Μπριζόλες Καρέ/Κόντρα Χοιρ Νωπές Εισ Μ/Ο ,2022-12-05,6.08
3,Μπριζόλες Καρέ/Κόντρα Χοιρ Νωπές Εισ Μ/Ο ,2022-12-06,6.12
4,Bailey's Irish Cream Λικέρ 700ml,2022-12-01,17.24
4,Bailey's Irish Cream Λικέρ 700ml,2022-12-02,17.54
4,Bailey's Irish Cream Λικέρ 700ml,2022-12-03,17.76
4,Bailey's Irish Cream Λικέρ 700ml,2022-12-05,17.56
4,Bailey's Irish Cream Λικέρ 700ml,2022-12-06,17.51
5,Μύλοι Αγίου Γεωργίου Easy Bake Μειγ Muffin 500γρ,2022-12-01,3.44
5,Μύλοι Αγίου Γεωργίου Easy Bake Μειγ Muffin 500γρ,2022-12-02,3.44
5,Μύλοι Αγίου Γεωργίου Easy Bake Μειγ Muffin 500γρ,2022-12-03,3.43
5,Μύλοι Αγίου Γεωργίου Easy Bake Μειγ Muffin 500γρ,2022-12-05,3.44
5,Μύλοι Αγίου Γεωργίου Easy Bake Μειγ Muffin 500γρ,2022-12-06,3.43
6,Ίον Σοκοφρέτα Σοκολ Υγείας 38γρ,2022-12-01,0.4
6,Ίον Σοκοφρέτα Σοκολ Υγείας 38γρ,2022-12-02,0.4
6,Ίον Σοκοφρέτα Σοκολ Υγείας 38γρ,2022-12-03,0.41
6,Ίον Σοκοφρέτα Σοκολ Υγείας 38γρ,2022-12-05,0.4
6,Ίον Σοκοφρέτα Σοκολ Υγείας 38γρ,2022-12-06,0.41
8,Knorr Ζωμός Κότας Σε Κόκκους Extra Γεύση 88γρ,2022-12-01,2.38
8,Knorr Ζωμός Κότας Σε Κόκκους Extra Γεύση 88γρ,2022-12-02,2.44
8,Knorr Ζωμός Κότας Σε Κόκκους Extra Γεύση 88γρ,2022-12-03,2.48
8,Knorr Ζωμός Κότας Σε Κόκκους Extra Γεύση 88γρ,2022-12-05,2.44
8,Knorr Ζωμός Κότας Σε Κόκκους Extra Γεύση 88γρ,2022-12-06,2.44
9,Kellogg's Special Κ 375γρ,2022-12-01,3.74
9,Kellogg's Special Κ 375γρ,2022-12-02,3.74
9,Kellogg's Special Κ 375γρ,2022-12-03,3.93
9,Kellogg's Special Κ 375γρ,2022-12-05,3.76
9,Kellogg's Special Κ 375γρ,2022-12-06,3.74
10,Kellogg's Coco Pops Chocos 375γρ,2022-12-01,4.14
10,Kellogg's Coco Pops Chocos 375γρ,2022-12-02,4.13
10,Kellogg's Coco Pops Chocos 375γρ,2022-12-03,4.13
10,Kellogg's Coco Pops Chocos 375γρ,2022-12-05,3.79
10,Kellogg's Coco Pops Chocos 375γρ,2022-12-06,3.82
11,Μήλα Στάρκιν Ζαγορ Πηλίου ΠΟΠ Κατ Έξτρα,2022-12-01,1.93
11,Μήλα Στάρκιν Ζαγορ Πηλίου ΠΟΠ Κατ Έξτρα,2022-12-02,1.93
11,Μήλα Στάρκιν Ζαγορ Πηλίου ΠΟΠ Κατ Έξτρα,2022-12-03,1.92
11,Μήλα Στάρκιν Ζαγορ Πηλίου ΠΟΠ Κατ Έξτρα,2022-12-05,1.93
11,Μήλα Στάρκιν Ζαγορ Πηλίου ΠΟΠ Κατ Έξτρα,2022-12-06,1.93
12,Κρασί Της Παρέας Λευκό 1λιτ,2022-12-01,2.61
12,Κρασί Της Παρέας Λευκό 1λιτ,2022-12-02,2.61
12,Κρασί Της Παρέας Λευκό 1λιτ,2022-12-03,2.56
12,Κρασί Της Παρέας Λευκό 1λιτ,2022-12-05,2.61
12,Κρασί Της Παρέας Λευκό 1λιτ,2022-12-06,2.58
13,L'Oreal Studio Line Fx Gel Extra Fix 150ml,2022-12-01,5.09
13,L'Oreal Studio Line Fx Gel Extra Fix 150ml,2022-12-02,4.63
13,L'Oreal Studio Line Fx Gel Extra Fix 150ml,2022-12-03,4.96
13,L'Oreal Studio Line Fx Gel Extra Fix 150ml,2022-12-05,5.08
13,L'Oreal Studio Line Fx Gel Extra Fix 150ml,2022-12-06,5.08
14,Μινέρβα Αραβοσιτέλαιο 2λιτ,2022-12-01,8.69
14,Μινέρβα Αραβοσιτέλαιο 2λιτ,2022-12-02,8.69
14,Μινέρβα Αραβοσιτέλαιο 2λιτ,2022-12-03,8.62
14,Μινέρβα Αραβοσιτέλαιο 2λιτ,2022-12-05,8.69
14,Μινέρβα Αραβοσιτέλαιο 2λιτ,2022-12-06,8.7
15,Χρυσή Ζύμη Λουκανικοπιτάκια Κατεψυγμένα Κουρού 800γρ,2022-12-01,4.73
15,Χρυσή Ζύμη Λουκανικοπιτάκια Κατεψυγμένα Κουρού 800γρ,2022-12-02,5.1
15,Χρυσή Ζύμη Λουκανικοπιτάκια Κατεψυγμένα Κουρού 800γρ,2022-12-03,5.46
15,Χρυσή Ζύμη Λουκανικοπιτάκια Κατεψυγμένα Κουρού 800γρ,2022-12-05,5.01
15,Χρυσή Ζύμη Λουκανικοπιτάκια Κατεψυγμένα Κουρού 800γρ,2022-12-06,5.23
16,Ava Υγρό Πιάτων Action Λευκο Ξυδι Αντλια 650ml,2022-12-01,2.38
16,Ava Υγρό Πιάτων Action Λευκο Ξυδι Αντλια 650ml,2022-12-02,2.4
16,Ava Υγρό Πιάτων Action Λευκο Ξυδι Αντλια 650ml,2022-12-03,2.31
16,Ava Υγρό Πιάτων Action Λευκο Ξυδι Αντλια 650ml,2022-12-05,2.42
16,Ava Υγρό Πιάτων Action Λευκο Ξυδι Αντλια 650ml,2022-12-06,2.47
17,Καλλιμάνης Καλαμαράκι Κομ Καθαρ 595γρ,2022-12-01,9.36
17,Καλλιμάνης Καλαμαράκι Κομ Καθαρ 595γρ,2022-12-02,9.42
17,Καλλιμάνης Καλαμαράκι Κομ Καθαρ 595γρ,2022-12-03,9.62
17,Καλλιμάνης Καλαμαράκι Κομ Καθαρ 595γρ,2022-12-05,9.68
17,Καλλιμάνης Καλαμαράκι Κομ Καθαρ 595γρ,2022-12-06,9.64
18,Νουνού Κρέμα Γάλακτος Πλήρης 2Χ330ml,2022-12-01,5.65
18,Νουνού Κρέμα Γάλακτος Πλήρης 2Χ330ml,2022-12-02,5.61
18,Νουνού Κρέμα Γάλακτος Πλήρης 2Χ330ml,2022-12-03,5.63
18,Νουνού Κρέμα Γάλακτος Πλήρης 2Χ330ml,2022-12-05,5.63
18,Νουνού Κρέμα Γάλακτος Πλήρης 2Χ330ml,2022-12-06,5.61
19,Crunch Σοκολάτα Γάλακτος 100γρ,2022-12-01,1.27
19,Crunch Σοκολάτα Γάλακτος 100γρ,2022-12-02,1.32
19,Crunch Σοκολάτα Γάλακτος 100γρ,2022-12-03,1.31
19,Crunch Σοκολάτα Γάλακτος 100γρ,2022-12-05,1.29
19,Crunch Σοκολάτα Γάλακτος 100γρ,2022-12-06,1.29
20,Μπρόκολα Πράσινα Εισ,2022-12-01,2.79
20,Μπρόκολα Πράσινα Εισ,2022-12-02,2.83
20,Μπρόκολα Πράσινα Εισ,2022-12-03,2.82
20,Μπρόκολα Πράσινα Εισ,2022-12-05,2.7
20,Μπρόκολα Πράσινα Εισ,2022-12-06,3.43
21,Ferrero Kinder Pingui Σοκ/Γκοφρ 4X124γρ,2022-12-01,2.03
21,Ferrero Kinder Pingui Σοκ/Γκοφρ 4X124γρ,2022-12-02,2.21
21,Ferrero Kinder Pingui Σοκ/Γκοφρ 4X124γρ,2022-12-03,2.2
21,Ferrero Kinder Pingui Σοκ/Γκοφρ 4X124γρ,2022-12-05,2.42
21,Ferrero Kinder Pingui Σοκ/Γκοφρ 4X124γρ,2022-12-06,2.5
22,Γιώτης Φρουτόκρεμα 5 Φρούτα 300γρ,2022-12-01,5.22
22,Γιώτης Φρουτόκρεμα 5 Φρούτα 300γρ,2022-12-02,5.22
22,Γιώτης Φρουτόκρεμα 5 Φρούτα 300γρ,2022-12-03,5.22
22,Γιώτης Φρουτόκρεμα 5 Φρούτα 300γρ,2022-12-05,5.22
22,Γιώτης Φρουτόκρεμα 5 Φρούτα 300γρ,2022-12-06,5.22
23,Δέλτα Γάλα Ελαφρύ 1λιτ,2022-12-01,1.35
23,Δέλτα Γάλα Ελαφρύ 1λιτ,2022-12-02,1.47
23,Δέλτα Γάλα Ελαφρύ 1λιτ,2022-12-03,1.47
23,Δέλτα Γάλα Ελαφρύ 1λιτ,2022-12-05,1.47
23,Δέλτα Γάλα Ελαφρύ 1λιτ,2022-12-06,1.47
24,Always Σερβ Ultra Platinum Night 6τεμ,2022-12-01,2.34
24,Always Σερβ Ultra Platinum Night 6τεμ,2022-12-02,2.32
24,Always Σερβ Ultra Platinum Night 6τεμ,2022-12-03,2.33
24,Always Σερβ Ultra Platinum Night 6τεμ,2022-12-05,1.89
24,Always Σερβ Ultra Platinum Night 6τεμ,2022-12-06,2.01
25,Άλφα Μπύρα 500ml,2022-12-01,1.31
25,Άλφα Μπύρα 500ml,2022-12-02,1.31
25,Άλφα Μπύρα 500ml,2022-12-03,1.3
25,Άλφα Μπύρα 500ml,2022-12-05,1.31
25,Άλφα Μπύρα 500ml,2022-12-06,1.3
26,Όλυμπος Γάλα Ζωής Πλήρες Υψ Παστ 1,5λιτ,2022-12-01,2.88
26,Όλυμπος Γάλα Ζωής Πλήρες Υψ Παστ 1,5λιτ,2022-12-02,2.88
26,Όλυμπος Γάλα Ζωής Πλήρες Υψ Παστ 1,5λιτ,2022-12-03,2.88
26,Όλυμπος Γάλα Ζωής Πλήρες Υψ Παστ 1,5λιτ,2022-12-05,2.88
26,Όλυμπος Γάλα Ζωής Πλήρες Υψ Παστ 1,5λιτ,2022-12-06,2.87
27,Sani Lady Sensitive Super N5 10τεμ,2022-12-01,4.25
27,Sani Lady Sensitive Super N5 10τεμ,2022-12-02,4.13
27,Sani Lady Sensitive Super N5 10τεμ,2022-12-03,4.35
27,Sani Lady Sensitive Super N5 10τεμ,2022-12-05,4.2
27,Sani Lady Sensitive Super N5 10τεμ,2022-12-06,4.11
28,Όλυμπος Βούτυρο Αγελ Πακ 250γρ,2022-12-01,4.71
28,Όλυμπος Βούτυρο Αγελ Πακ 250γρ,2022-12-02,4.71
28,Όλυμπος Βούτυρο Αγελ Πακ 250γρ,2022-12-03,4.69
28,Όλυμπος Βούτυρο Αγελ Πακ 250γρ,2022-12-05,4.71
28,Όλυμπος Βούτυρο Αγελ Πακ 250γρ,2022-12-06,4.71
29,Proderm Υγρό Απορ/κο 17μεζ 1250ml,2022-12-01,7.69
29,Proderm Υγρό Απορ/κο 17μεζ 1250ml,2022-12-02,8.6
29,Proderm Υγρό Απορ/κο 17μεζ 1250ml,2022-12-03,8.42
29,Proderm Υγρό Απορ/κο 17μεζ 1250ml,2022-12-05,9.08
29,Proderm Υγρό Απορ/κο 17μεζ 1250ml,2022-12-06,9.07
30,Jose Cuervo Τεκίλα Espec Κιτρ 0,7λιτ,2022-12-01,23.86
30,Jose Cuervo Τεκίλα Espec Κιτρ 0,7λιτ,2022-12-02,23.79
30,Jose Cuervo Τεκίλα Espec Κιτρ 0,7λιτ,2022-12-03,23.85
30,Jose Cuervo Τεκίλα Espec Κιτρ 0,7λιτ,2022-12-05,23.46
30,Jose Cuervo Τεκίλα Espec Κιτρ 0,7λιτ,2022-12-06,23.89
31,Axe Αφροντούς Africa 400ml,2022-12-01,3.39
31,Axe Αφροντούς Africa 400ml,2022-12-02,2.71
31,Axe Αφροντούς Africa 400ml,2022-12-03,2.92
31,Axe Αφροντούς Africa 400ml,2022-12-05,3.19
31,Axe Αφροντούς Africa 400ml,2022-12-06,2.78
32,Λαιμός Χοιρινός Μ/Ο Νωπός Ελλ,2022-12-01,5.97
32,Λαιμός Χοιρινός Μ/Ο Νωπός Ελλ,2022-12-02,5.95
32,Λαιμός Χοιρινός Μ/Ο Νωπός Ελλ,2022-12-03,5.7
32,Λαιμός Χοιρινός Μ/Ο Νωπός Ελλ,2022-12-05,6.25
32,Λαιμός Χοιρινός Μ/Ο Νωπός Ελλ,2022-12-06,6.23
34,Νουνού Γάλα Light Μερίδες Διχ 10Χ15γρ,2022-12-01,1.14
34,Νουνού Γάλα Light Μερίδες Διχ 10Χ15γρ,2022-12-02,1.12
