id,name,category,subcategory
0,"Trata Σαρδέλα Λαδιού 100γρ",ee0022e7b1b34eb2b834ea334cda52e7,df10062ca2a04789bd43d18217008b5f
1,"Υφαντής Πίτσα Rock N Roll 3Χ460γρ",ee0022e7b1b34eb2b834ea334cda52e7,3f38edda7854447a837956d64a2530fa
2,"Barilla Μακαρ Linguine Bavette Ν13 500γρ",ee0022e7b1b34eb2b834ea334cda52e7,0c347b96540a427e9823f321861ce58e
3,"Μπριζόλες Καρέ/Κόντρα Χοιρ Νωπές Εισ Μ/Ο ",ee0022e7b1b34eb2b834ea334cda52e7,a73f11a7f08b41c081ef287009387579
4,"Bailey's Irish Cream Λικέρ 700ml",a8ac6be68b53443bbd93b229e2f9cd34,08f280dee57c4b679be0102a8ba1343b
5,"Μύλοι Αγίου Γεωργίου Easy Bake Μειγ Muffin 500γρ",ee0022e7b1b34eb2b834ea334cda52e7,a1a1c2c477b74504b58ad847f7e0c8e1
6,"Ίον Σοκοφρέτα Σοκολ Υγείας 38γρ",ee0022e7b1b34eb2b834ea334cda52e7,dca17e0bfb4e469c93c011f8dc8ab512
8,"Knorr Ζωμός Κότας Σε Κόκκους Extra Γεύση 88γρ",ee0022e7b1b34eb2b834ea334cda52e7,3935d6afbf50454595f1f2b99285ce8c
9,"Kellogg's Special Κ 375γρ",ee0022e7b1b34eb2b834ea334cda52e7,916a76ac76b3462baf2db6dc508b296b
10,"Kellogg's Coco Pops Chocos 375γρ",ee0022e7b1b34eb2b834ea334cda52e7,916a76ac76b3462baf2db6dc508b296b
11,"Μήλα Στάρκιν Ζαγορ Πηλίου ΠΟΠ Κατ Έξτρα",ee0022e7b1b34eb2b834ea334cda52e7,ea47cc6b2f6743169188da125e1f3761
12,"Κρασί Της Παρέας Λευκό 1λιτ",a8ac6be68b53443bbd93b229e2f9cd34,3d01f4ce48ad422b90b50c62b1f8e7f2
13,"L'Oreal Studio Line Fx Gel Extra Fix 150ml",8e8117f7d9d64cf1a931a351eb15bd69,e2f81e96f70e45fb9552452e381529d3
14,"Μινέρβα Αραβοσιτέλαιο 2λιτ",ee0022e7b1b34eb2b834ea334cda52e7,1e9187fb112749ff888b11fd64d79680
15,"Χρυσή Ζύμη Λουκανικοπιτάκια Κατεψυγμένα Κουρού 800γρ",ee0022e7b1b34eb2b834ea334cda52e7,1eb56e6ffa2a449296fb1acc7b714cc5
16,"Ava Υγρό Πιάτων Action Λευκο Ξυδι Αντλια 650ml",d41744460283406a86f8e4bd5010a66d,e60aca31a37a40db8a83ccf93bd116b1
17,"Καλλιμάνης Καλαμαράκι Κομ Καθαρ 595γρ",ee0022e7b1b34eb2b834ea334cda52e7,7ca5dc60dd00483897249e0f8516ee91
18,"Νουνού Κρέμα Γάλακτος Πλήρης 2Χ330ml",ee0022e7b1b34eb2b834ea334cda52e7,4e4cf5616e0f43aaa985c1300dc7109e
19,"Crunch Σοκολάτα Γάλακτος 100γρ",ee0022e7b1b34eb2b834ea334cda52e7,dca17e0bfb4e469c93c011f8dc8ab512
20,"Μπρόκολα Πράσινα Εισ",ee0022e7b1b34eb2b834ea334cda52e7,9bc82778d6b44152b303698e8f72c429
21,"Ferrero Kinder Pingui Σοκ/Γκοφρ 4X124γρ",ee0022e7b1b34eb2b834ea334cda52e7,dca17e0bfb4e469c93c011f8dc8ab512
22,"Γιώτης Φρουτόκρεμα 5 Φρούτα 300γρ",8016e637b54241f8ad242ed1699bf2da,7e86994327f64e3ca967c09b5803966a
23,"Δέλτα Γάλα Ελαφρύ 1λιτ",ee0022e7b1b34eb2b834ea334cda52e7,b3992eb422c2495ca02dd19de9d16ad1
24,"Always Σερβ Ultra Platinum Night 6τεμ",8e8117f7d9d64cf1a931a351eb15bd69,2bce84e7df694ab1b81486aa2baf555d
25,"Άλφα Μπύρα 500ml",a8ac6be68b53443bbd93b229e2f9cd34,329bdd842f9f41688a0aa017b74ffde4
26,"Όλυμπος Γάλα Ζωής Πλήρες Υψ Παστ 1,5λιτ",ee0022e7b1b34eb2b834ea334cda52e7,b3992eb422c2495ca02dd19de9d16ad1
27,"Sani Lady Sensitive Super N5 10τεμ",8e8117f7d9d64cf1a931a351eb15bd69,0bf072374a8e4c40b915e4972990a417
28,"Όλυμπος Βούτυρο Αγελ Πακ 250γρ",ee0022e7b1b34eb2b834ea334cda52e7,a240e48245964b02ba73d1a86a2739be
29,"Proderm Υγρό Απορ/κο 17μεζ 1250ml",8016e637b54241f8ad242ed1699bf2da,991276688c8c4a91b5524b1115122ec1
30,"Jose Cuervo Τεκίλα Espec Κιτρ 0,7λιτ",a8ac6be68b53443bbd93b229e2f9cd34,08f280dee57c4b679be0102a8ba1343b
31,"Axe Αφροντούς Africa 400ml",8e8117f7d9d64cf1a931a351eb15bd69,46b02b6b4f4c4d5d8a0efe21d0981027
32,"Λαιμός Χοιρινός Μ/Ο Νωπός Ελλ",ee0022e7b1b34eb2b834ea334cda52e7,a73f11a7f08b41c081ef287009387579
34,"Νουνού Γάλα Light Μερίδες Διχ 10Χ15γρ",ee0022e7b1b34eb2b834ea334cda52e7,b3992eb422c2495ca02dd19de9d16ad1
35,"Μεβγάλ Ζελέ Κεράσι 3Χ150γρ",ee0022e7b1b34eb2b834ea334cda52e7,509b949f61cc44f58c2f25093f7fc3eb
37,"Omo Σκόνη 425γρ",d41744460283406a86f8e4bd5010a66d,e60aca31a37a40db8a83ccf93bd116b1
38,"Autan Family Care Spray 100ml",d41744460283406a86f8e4bd5010a66d,8f98818a7a55419fb42ef1d673f0bb64
40,"Fissan Baby Ενυδατική κρέμα 150 ml",8016e637b54241f8ad242ed1699bf2da,ddb733df68324cfc8469c890b32e716d
41,"Nivea Κρέμα 150ml",8e8117f7d9d64cf1a931a351eb15bd69,5a2a0575959c40d6a46614ab99b2d9af
42,"Misko Ταλιατέλλες Σιμιγδ 500γρ",ee0022e7b1b34eb2b834ea334cda52e7,0c347b96540a427e9823f321861ce58e
43,"Βλάχας Γάλα Εβαπορέ Πλήρες 410γρ",ee0022e7b1b34eb2b834ea334cda52e7,b3992eb422c2495ca02dd19de9d16ad1
44,"Γιώτης Κρέμα Παιδική Φαρίν Λακτέ 300γρ",8016e637b54241f8ad242ed1699bf2da,7e86994327f64e3ca967c09b5803966a
45,"Klinex Χλωρίνη Ultra Lemon 1250ml",d41744460283406a86f8e4bd5010a66d,3be81b50494d4b5495d5fea3081759a6
46,"Δέλτα Advance Επιδ Μπαν/Μηλο 2Χ150γρ",ee0022e7b1b34eb2b834ea334cda52e7,0364b4be226146699140e81a469d04a1
47,"Φάγε Τρικαλινό Τυρί Ζαρί Light Φάγε 380γρ",ee0022e7b1b34eb2b834ea334cda52e7,4c73d0eccd1e4dde8bb882e436a64ebb
48,"Παπαδοπούλου Πτι Μπερ Ολικ Αλ 225γρ",ee0022e7b1b34eb2b834ea334cda52e7,35cce434592f489a9ed37596951992b3
49,"Φάγε Γιαούρτι Αγελαδίτσα 4% 3χ200γρ",ee0022e7b1b34eb2b834ea334cda52e7,0364b4be226146699140e81a469d04a1
50,"Μέλισσα Τορτελίνια Γεμ Τυρίων 250γρ",ee0022e7b1b34eb2b834ea334cda52e7,0c347b96540a427e9823f321861ce58e
51,"Gordon's Τζιν 0,7λιτ",a8ac6be68b53443bbd93b229e2f9cd34,08f280dee57c4b679be0102a8ba1343b
52,"Φάγε Total Γιαούρτι 2% 3x200γρ",ee0022e7b1b34eb2b834ea334cda52e7,0364b4be226146699140e81a469d04a1
53,"Alfa Κασερόπιτα Πηλίου Κατεψυγμένη 850γρ",ee0022e7b1b34eb2b834ea334cda52e7,1eb56e6ffa2a449296fb1acc7b714cc5
54,"Μεβγάλ Φέτα Vacuum 400γρ",ee0022e7b1b34eb2b834ea334cda52e7,4c73d0eccd1e4dde8bb882e436a64ebb
55,"Ultrex Σαμπουάν Γυναικ Κανον 360ml",8e8117f7d9d64cf1a931a351eb15bd69,46b02b6b4f4c4d5d8a0efe21d0981027
56,"Κανάκι Φύλλο Κρούστας 450γρ",ee0022e7b1b34eb2b834ea334cda52e7,d1315c04b3d64aed93472e41d6e5a6f8
57,"Dirollo Τυρί Cottage 2,2% Λιπ 225γρ",ee0022e7b1b34eb2b834ea334cda52e7,4c73d0eccd1e4dde8bb882e436a64ebb
58,"Κύκνος Κέτσαπ Top Down Χ Γλουτ 580γρ",ee0022e7b1b34eb2b834ea334cda52e7,b1866f1365a54e2d84c28ad2ca7ab5af
60,"Camel Υγρο Δερμα Παπουτσιών Μαύρο 75ml",8e8117f7d9d64cf1a931a351eb15bd69,a610ce2a98a94ee788ee5f94b4be82c2
62,"Iglo Fish Sticks 300γρ",ee0022e7b1b34eb2b834ea334cda52e7,7ca5dc60dd00483897249e0f8516ee91
63,"Μινέρβα Ελαιόλαδο 1λιτ",ee0022e7b1b34eb2b834ea334cda52e7,1e9187fb112749ff888b11fd64d79680
64,"Quanto Μαλακτ Μη Συμπ Μπλε 2λιτ",d41744460283406a86f8e4bd5010a66d,3be81b50494d4b5495d5fea3081759a6
65,"Elvive Color Vive Γαλακτ Μαλ 200ml",8e8117f7d9d64cf1a931a351eb15bd69,cf079c66251342b690040650104e160f
66,"Μίνι Ούζο Γλυκάνισο 200ml",a8ac6be68b53443bbd93b229e2f9cd34,08f280dee57c4b679be0102a8ba1343b
67,"Pummaro Χυμός Τομάτα Κλασικός 3Χ250γρ",ee0022e7b1b34eb2b834ea334cda52e7,a02951b1c083449b9e7fab2fabd67198
68,"Noxzema Αποσμ Rollon Classic 50ml",8e8117f7d9d64cf1a931a351eb15bd69,35410eeb676b4262b651997da9f42777
69,"Χρυσή Ζύμη Πίτσα Μαργαρίτα 2X470γρ",ee0022e7b1b34eb2b834ea334cda52e7,3f38edda7854447a837956d64a2530fa
70,"Μινέρβα Χωριό Ορεινές Περιοχές Ελαιόλαδο Παρθένο 2λιτ",ee0022e7b1b34eb2b834ea334cda52e7,1e9187fb112749ff888b11fd64d79680
71,"Neslac Επιδόρπιο Γάλακτος Μπισκότο 4Χ100γρ",8016e637b54241f8ad242ed1699bf2da,fc71b59318b5410d8ed9da8b42904d77
72,"Στεργίου Κρουασάνάκια Με Γέμιση Πραλίνα 300γρ",ee0022e7b1b34eb2b834ea334cda52e7,19c54e78d74d4b64afbb1fd124f01dfc
73,"7 Days Κρουασάν Κακάο 70γρ",ee0022e7b1b34eb2b834ea334cda52e7,19c54e78d74d4b64afbb1fd124f01dfc
74,"Μεβγάλ Γάλα «Κάθε Μέρα» 1.5% 1λιτ",ee0022e7b1b34eb2b834ea334cda52e7,b3992eb422c2495ca02dd19de9d16ad1
75,"Όλυμπος Φυσικός Χυμός Πορτ 500ml",a8ac6be68b53443bbd93b229e2f9cd34,4f1993ca5bd244329abf1d59746315b8
76,"Λάπα Νεαρού Μοσχ Α/Ο Νωπή Εισ",ee0022e7b1b34eb2b834ea334cda52e7,c2ce05f4653c4f4fa8f39892bbb98960
77,"Zest Familia Λουκανικοπιτάκια 800γρ",ee0022e7b1b34eb2b834ea334cda52e7,d1315c04b3d64aed93472e41d6e5a6f8
78,"Bref Power Active Wc Block Ωκεαν 50γρ",d41744460283406a86f8e4bd5010a66d,3be81b50494d4b5495d5fea3081759a6
79,"Nivea Μάσκα Μέλι για Ξηρ/Ευαίσθ Επιδ 2x7,5ml",8e8117f7d9d64cf1a931a351eb15bd69,5a2a0575959c40d6a46614ab99b2d9af
81,"Δέλτα Γιαούρτι Μικ Οικ Φαρμ 2% 2Χ200γρ",ee0022e7b1b34eb2b834ea334cda52e7,0364b4be226146699140e81a469d04a1
82,"Μεβγάλ Ζελέ Ροδάκινο 3Χ150γρ",ee0022e7b1b34eb2b834ea334cda52e7,509b949f61cc44f58c2f25093f7fc3eb
84,"Pampers Prem Care No4 8-14κιλ 34τεμ",8016e637b54241f8ad242ed1699bf2da,e0efaa1776714351a4c17a3a9d412602
85,"Κύκνος Τοματοπολτός 410γρ",ee0022e7b1b34eb2b834ea334cda52e7,5aba290bf919489da5810c6122f0bc9b
86,"Brasso Γυαλιστικό Μετάλλων 150ml",d41744460283406a86f8e4bd5010a66d,3be81b50494d4b5495d5fea3081759a6
87,"Μύλοι Αγίου Γεωργίου Αλεύρι Για Όλες Τις Χρ 1κιλ",ee0022e7b1b34eb2b834ea334cda52e7,c761cd8b18a246eb81fb21858ac10093
88,"Libresse Σερβιέτες Invisible Normal 10τεμ",8e8117f7d9d64cf1a931a351eb15bd69,2bce84e7df694ab1b81486aa2baf555d
89,"Ajax Uλιτra Υγρό Γενικού Καθαρισμού Λεμόνι 1λιτ",d41744460283406a86f8e4bd5010a66d,3be81b50494d4b5495d5fea3081759a6
90,"Monster Energy Drink 500ml",a8ac6be68b53443bbd93b229e2f9cd34,3010aca5cbdc401e8dfe1d39320a8d1a
91,"Nivea Κρ Ημέρας Ξηρ/Ευαίσθ Επιδ SPF15 50ml",8e8117f7d9d64cf1a931a351eb15bd69,5a2a0575959c40d6a46614ab99b2d9af
92,"Everyday Σερβ Extr Long/Ultra Plus Hyp 10τεμ",8e8117f7d9d64cf1a931a351eb15bd69,2bce84e7df694ab1b81486aa2baf555d
93,"Κανάκι Ζύμη Κατεψυγμένη Κουρού 700γρ",ee0022e7b1b34eb2b834ea334cda52e7,d1315c04b3d64aed93472e41d6e5a6f8
94,"Δωδώνη Τυρί Φέτα 400γρ Σε Άλμη",ee0022e7b1b34eb2b834ea334cda52e7,4c73d0eccd1e4dde8bb882e436a64ebb
95,"Creta Farms Εν Ελλάδι Κεφτεδάκια Κτψ 420γρ",ee0022e7b1b34eb2b834ea334cda52e7,9b7795175cbc4a6d9ca37b8ee9bf5815
96,"Stella Artois Μπύρα 330ml",a8ac6be68b53443bbd93b229e2f9cd34,329bdd842f9f41688a0aa017b74ffde4
